beta,rgb_supervise,rgb_weak_supervise_prop,z_dim,smooth,alpha,img_metric_mean,img_metric_std,color_metric_mean,color_metric_std
1.0,False,0.05,64,0.005,1.0,"[1.11639886e+00 0.00000000e+00 5.09278090e+01 3.22046951e-03
 8.98767248e+01 5.63097345e+01 9.89453049e-01 0.00000000e+00
 5.29503588e+01 2.74109723e-03 8.96818674e+01 5.58252205e+01
 9.91366910e-01]","[3.28982163e+00 0.00000000e+00 4.33428550e+00 1.71709442e-03
 7.62324967e-01 3.57102039e+00 1.15936878e-02 0.00000000e+00
 5.63954766e+00 1.75154473e-03 1.58539840e+00 3.12863733e+00
 1.10872780e-02]",52.01238808975418,17.51788296256042
0.5,False,0.05,8,0.001,2.5,"[8.87490126e-01 0.00000000e+00 4.79937025e+01 4.61332696e-03
 8.98840479e+01 5.52922650e+01 9.78831407e-01 0.00000000e+00
 4.98372073e+01 4.03583789e-03 8.97343027e+01 5.42686447e+01
 9.82226029e-01]","[3.31088412e+00 0.00000000e+00 4.88042232e+00 2.50125992e-03
 7.54776989e-01 4.16374905e+00 2.10315023e-02 0.00000000e+00
 6.28254445e+00 2.57956119e-03 1.35178178e+00 3.45643227e+00
 2.04927361e-02]",42.5385094103221,17.965291501263373
2.5,False,0.05,8,0.005,0.5,"[8.44502658e-01 0.00000000e+00 4.79164996e+01 4.60091782e-03
 8.98847299e+01 5.52341825e+01 9.78945090e-01 0.00000000e+00
 4.97478465e+01 4.02778931e-03 8.97426584e+01 5.42239644e+01
 9.82340294e-01]","[3.41936883e+00 0.00000000e+00 4.66484775e+00 2.39872563e-03
 7.54851642e-01 4.09002501e+00 2.02968144e-02 0.00000000e+00
 6.09628655e+00 2.49917550e-03 1.34161442e+00 3.36697840e+00
 1.98615119e-02]",57.38104398741033,16.983930193609456
1.0,True,0.05,8,0.005,0.5,"[8.85174731e-01 0.00000000e+00 4.81338550e+01 4.54227910e-03
 8.98835039e+01 5.52483173e+01 9.79042269e-01 0.00000000e+00
 4.99492941e+01 3.97397853e-03 8.97456954e+01 5.43246881e+01
 9.82494329e-01]","[3.43111245e+00 0.00000000e+00 4.88832310e+00 2.45095681e-03
 7.55660876e-01 4.03052519e+00 2.05979583e-02 0.00000000e+00
 6.23534414e+00 2.51779697e-03 1.32753303e+00 3.43459436e+00
 2.00900095e-02]",53.61008467765055,17.087197599630038
1.0,True,0.05,16,0.001,0.1,"[8.82109263e-01 0.00000000e+00 5.03702007e+01 3.47437336e-03
 8.98810699e+01 5.60813685e+01 9.87444565e-01 0.00000000e+00
 5.21965834e+01 3.01762858e-03 8.97144823e+01 5.54483328e+01
 9.89530488e-01]","[3.36121290e+00 0.00000000e+00 4.57004062e+00 1.91484193e-03
 7.56213804e-01 3.72086531e+00 1.39149689e-02 0.00000000e+00
 5.85055894e+00 1.94346621e-03 1.46855639e+00 3.24268754e+00
 1.34076085e-02]",43.34556250129554,18.325861870791712
2.5,False,0.05,64,0.005,1.0,"[9.06294536e-01 0.00000000e+00 4.96400493e+01 3.71241858e-03
 8.98771807e+01 5.58102643e+01 9.86148930e-01 0.00000000e+00
 5.14926127e+01 3.22455172e-03 8.96805097e+01 5.50963475e+01
 9.88471550e-01]","[3.19169860e+00 0.00000000e+00 4.29345288e+00 1.87839174e-03
 7.58999981e-01 3.70792957e+00 1.38917965e-02 0.00000000e+00
 5.68049486e+00 1.95887158e-03 1.61145319e+00 3.16106523e+00
 1.35109665e-02]",50.2418585751382,18.3665122344354
1.0,False,0.05,64,0.005,0.5,"[9.09632486e-01 0.00000000e+00 5.04423973e+01 3.41749675e-03
 8.98720413e+01 5.58458172e+01 9.88155984e-01 0.00000000e+00
 5.25028181e+01 2.88215238e-03 8.96785904e+01 5.56014502e+01
 9.90569439e-01]","[3.42758069e+00 0.00000000e+00 4.44890505e+00 1.81040736e-03
 7.64647557e-01 3.41420279e+00 1.25213845e-02 0.00000000e+00
 5.59174468e+00 1.84656017e-03 1.59935025e+00 3.10765326e+00
 1.20077881e-02]",51.056417527759145,17.682282597016577
1.0,False,0.05,16,0.001,0.5,"[9.59016382e-01 0.00000000e+00 5.05730649e+01 3.42628109e-03
 8.98766111e+01 5.61196488e+01 9.87688697e-01 0.00000000e+00
 5.24828415e+01 2.95216909e-03 8.97055307e+01 5.55914618e+01
 9.89756289e-01]","[3.29006054e+00 0.00000000e+00 4.72640257e+00 1.95128424e-03
 7.59710521e-01 3.69859057e+00 1.41080240e-02 0.00000000e+00
 5.95426833e+00 1.97140168e-03 1.44463919e+00 3.29161993e+00
 1.34739745e-02]",44.49141541105152,18.973056971239426
0.5,False,0.05,8,0.001,0.5,"[1.03157465e+00 0.00000000e+00 4.82679478e+01 4.49760412e-03
 8.98813102e+01 5.51841606e+01 9.79511323e-01 0.00000000e+00
 5.01845069e+01 3.90572651e-03 8.96919662e+01 5.44422945e+01
 9.82957125e-01]","[3.39704332e+00 0.00000000e+00 4.99124357e+00 2.46415032e-03
 7.57335974e-01 3.95622861e+00 2.04968665e-02 0.00000000e+00
 6.36440439e+00 2.53287542e-03 1.57772074e+00 3.49980491e+00
 1.98598568e-02]",48.66986935234201,18.869649440539614
0.5,True,0.05,64,0.005,0.1,"[8.23024510e-01 0.00000000e+00 5.11295496e+01 3.18217298e-03
 8.98687715e+01 5.62316090e+01 9.89299430e-01 0.00000000e+00
 5.32075435e+01 2.69812226e-03 8.96714063e+01 5.59538128e+01
 9.91583737e-01]","[3.35457399e+00 0.00000000e+00 4.56540288e+00 1.74628766e-03
 7.67972537e-01 3.53099059e+00 1.15694915e-02 0.00000000e+00
 5.84346728e+00 1.78233121e-03 1.56452404e+00 3.23216996e+00
 1.10235200e-02]",52.375405906038964,17.59354407868355
0.5,True,0.05,64,0.005,1.0,"[2.00503495e+00 0.00000000e+00 5.11340381e+01 3.16233748e-03
 8.98774593e+01 5.63254327e+01 9.89223798e-01 0.00000000e+00
 5.34446765e+01 2.61275125e-03 8.96602059e+01 5.60723793e+01
 9.92026392e-01]","[4.64270322e+00 0.00000000e+00 4.46319955e+00 1.70424799e-03
 7.59834150e-01 3.47951098e+00 1.14482168e-02 0.00000000e+00
 5.72103386e+00 1.72338722e-03 1.73901353e+00 3.16280562e+00
 1.04432237e-02]",52.27342321011069,17.80832591922714
2.5,True,0.05,8,0.005,1.0,"[8.51678427e-01 0.00000000e+00 4.76568039e+01 4.69334474e-03
 8.98807974e+01 5.49845088e+01 9.78543807e-01 0.00000000e+00
 4.95290313e+01 4.08067262e-03 8.97245361e+01 5.41145567e+01
 9.82138845e-01]","[3.26818118e+00 0.00000000e+00 4.48610420e+00 2.35424354e-03
 7.59421838e-01 3.93704485e+00 2.02389072e-02 0.00000000e+00
 5.92249413e+00 2.45850801e-03 1.38965554e+00 3.26848919e+00
 1.98224460e-02]",49.36242496134672,18.862000660577117
2.5,True,0.05,8,0.001,2.5,"[9.08505802e-01 0.00000000e+00 4.80317566e+01 4.56744300e-03
 8.98799918e+01 5.51523855e+01 9.79252351e-01 0.00000000e+00
 4.98780965e+01 3.96906865e-03 8.97146474e+01 5.42890894e+01
 9.82713697e-01]","[3.26031241e+00 0.00000000e+00 4.76373186e+00 2.42627446e-03
 7.61840586e-01 3.93588940e+00 2.03838649e-02 0.00000000e+00
 6.03107159e+00 2.49253692e-03 1.42247367e+00 3.33084001e+00
 1.97090607e-02]",44.51290834991409,18.493216013744025
2.5,False,0.05,16,0.001,1.0,"[1.03516026e+00 0.00000000e+00 4.97008866e+01 3.72869720e-03
 8.98737651e+01 5.56943516e+01 9.85959400e-01 0.00000000e+00
 5.16267443e+01 3.21969734e-03 8.96745150e+01 5.51634132e+01
 9.88362966e-01]","[3.37124364e+00 0.00000000e+00 4.46869068e+00 2.00479586e-03
 7.65714680e-01 3.63601755e+00 1.49797915e-02 0.00000000e+00
 5.82194359e+00 2.06792835e-03 1.64355824e+00 3.22397936e+00
 1.43831821e-02]",44.95474740707528,18.22781406411699
0.5,True,0.05,8,0.005,2.5,"[8.83099167e-01 0.00000000e+00 4.79937143e+01 4.61130936e-03
 8.98840360e+01 5.52788786e+01 9.78850147e-01 0.00000000e+00
 4.98311345e+01 4.03421744e-03 8.97356308e+01 5.42656083e+01
 9.82254266e-01]","[3.32137449e+00 0.00000000e+00 4.87365320e+00 2.49660334e-03
 7.54595161e-01 4.15107439e+00 2.09891064e-02 0.00000000e+00
 6.26694737e+00 2.57448761e-03 1.34028376e+00 3.44863345e+00
 2.04640847e-02]",47.929225930869265,18.88117775283897
1.0,True,0.05,8,0.005,2.5,"[1.00879216e+00 0.00000000e+00 4.80795069e+01 4.53856417e-03
 8.98807683e+01 5.50964863e+01 9.79553803e-01 0.00000000e+00
 5.00352844e+01 3.92924714e-03 8.97052826e+01 5.43676833e+01
 9.82975962e-01]","[3.32883934e+00 0.00000000e+00 4.74058946e+00 2.41605469e-03
 7.55120926e-01 3.93178874e+00 2.00768945e-02 0.00000000e+00
 6.19138547e+00 2.49947625e-03 1.46893591e+00 3.40845109e+00
 1.94544661e-02]",48.540365625989025,18.829910930857928
1.0,True,0.05,16,0.001,1.0,"[8.68608743e-01 0.00000000e+00 5.02679370e+01 3.52829270e-03
 8.98796919e+01 5.59703941e+01 9.86981121e-01 0.00000000e+00
 5.22493273e+01 3.04002799e-03 8.96978373e+01 5.54747047e+01
 9.89199851e-01]","[3.20240009e+00 0.00000000e+00 4.66506894e+00 1.94200439e-03
 7.58272777e-01 3.65157835e+00 1.41851165e-02 0.00000000e+00
 6.05676749e+00 1.99630009e-03 1.57565354e+00 3.34447275e+00
 1.36929647e-02]",43.631343847184745,18.77924062415609
0.5,True,0.05,16,0.001,2.5,"[8.60840108e-01 0.00000000e+00 5.03286181e+01 3.50846111e-03
 8.98685831e+01 5.58732969e+01 9.87422586e-01 0.00000000e+00
 5.25431229e+01 2.94167828e-03 8.96682387e+01 5.56216025e+01
 9.89867446e-01]","[3.41659798e+00 0.00000000e+00 4.64967429e+00 1.97001576e-03
 7.70431309e-01 3.61026368e+00 1.42108365e-02 0.00000000e+00
 5.95261598e+00 2.00430713e-03 1.60285943e+00 3.28957425e+00
 1.36320055e-02]",43.33385127560278,19.21196254093439
2.5,True,0.05,8,0.001,0.5,"[8.48465845e-01 0.00000000e+00 4.79108681e+01 4.60338765e-03
 8.98850324e+01 5.52285362e+01 9.78917078e-01 0.00000000e+00
 4.97488270e+01 4.02926123e-03 8.97400958e+01 5.42244546e+01
 9.82328619e-01]","[3.43701843e+00 0.00000000e+00 4.67110052e+00 2.39288802e-03
 7.54435070e-01 4.08245856e+00 2.02506132e-02 0.00000000e+00
 6.11304803e+00 2.49639819e-03 1.35698077e+00 3.37460692e+00
 1.98146959e-02]",44.493153541651075,18.601737122015475
0.5,False,0.05,64,0.001,1.0,"[1.99546178e+00 0.00000000e+00 5.11558698e+01 3.15703054e-03
 8.98780950e+01 5.63250070e+01 9.89244332e-01 0.00000000e+00
 5.34319638e+01 2.61401523e-03 8.96596715e+01 5.60660230e+01
 9.92013048e-01]","[4.59127084e+00 0.00000000e+00 4.47000341e+00 1.70953433e-03
 7.58661478e-01 3.48503874e+00 1.14617984e-02 0.00000000e+00
 5.70366491e+00 1.72185275e-03 1.74176219e+00 3.15295997e+00
 1.04393685e-02]",43.29526808612258,18.751328964899827
1.0,False,0.05,16,0.005,0.1,"[8.86079484e-01 0.00000000e+00 5.03587957e+01 3.47544071e-03
 8.98811028e+01 5.60913347e+01 9.87441378e-01 0.00000000e+00
 5.21939046e+01 3.01688581e-03 8.97155394e+01 5.54469934e+01
 9.89535893e-01]","[3.37478383e+00 0.00000000e+00 4.55129873e+00 1.91064807e-03
 7.55800304e-01 3.71578554e+00 1.38933172e-02 0.00000000e+00
 5.83735850e+00 1.94250096e-03 1.45700316e+00 3.23638223e+00
 1.34036288e-02]",49.78088773679196,18.531015864286434
0.5,True,0.05,16,0.005,0.1,"[1.00502967e+00 0.00000000e+00 5.04505312e+01 3.45730484e-03
 8.98687334e+01 5.59225769e+01 9.87556594e-01 0.00000000e+00
 5.26234125e+01 2.90873737e-03 8.96339140e+01 5.56617473e+01
 9.89981407e-01]","[3.32211621e+00 0.00000000e+00 4.61019187e+00 1.96011138e-03
 7.70616278e-01 3.58646532e+00 1.42828288e-02 0.00000000e+00
 5.89775124e+00 1.99440584e-03 1.79391267e+00 3.25822571e+00
 1.36393578e-02]",49.30988156994412,18.201928521171972
2.5,True,0.05,16,0.005,0.1,"[9.64902658e-01 0.00000000e+00 4.96910723e+01 3.70728229e-03
 8.98755996e+01 5.57129985e+01 9.86181511e-01 0.00000000e+00
 5.17432294e+01 3.16368365e-03 8.97009027e+01 5.52216558e+01
 9.88735924e-01]","[3.14384437e+00 0.00000000e+00 4.31556904e+00 1.95786172e-03
 7.60814674e-01 3.52249809e+00 1.45789552e-02 0.00000000e+00
 5.73775363e+00 2.02796837e-03 1.46467206e+00 3.17649667e+00
 1.41369199e-02]",47.12502586440568,18.01585219981968
0.5,False,0.05,16,0.005,2.5,"[8.72143380e-01 0.00000000e+00 5.03167034e+01 3.51501406e-03
 8.98686521e+01 5.58602841e+01 9.87391273e-01 0.00000000e+00
 5.25043276e+01 2.95071195e-03 8.96701765e+01 5.56022049e+01
 9.89837878e-01]","[3.43837441e+00 0.00000000e+00 4.66585664e+00 1.97437186e-03
 7.70241464e-01 3.61806929e+00 1.42586604e-02 0.00000000e+00
 5.93794878e+00 2.00511518e-03 1.59757387e+00 3.28141223e+00
 1.36569336e-02]",47.522637109011704,19.066676393997117
1.0,True,0.05,64,0.005,1.0,"[1.13467364e+00 0.00000000e+00 5.09183322e+01 3.22397486e-03
 8.98766420e+01 5.63081005e+01 9.89414731e-01 0.00000000e+00
 5.29232429e+01 2.74865883e-03 8.96841719e+01 5.58116626e+01
 9.91325332e-01]","[3.31286322e+00 0.00000000e+00 4.33549005e+00 1.71737473e-03
 7.61015336e-01 3.56556446e+00 1.15785348e-02 0.00000000e+00
 5.63789384e+00 1.75302150e-03 1.54858470e+00 3.12569177e+00
 1.10697700e-02]",52.06611371920124,17.972354375484564
1.0,True,0.05,64,0.001,0.1,"[9.56265792e-01 0.00000000e+00 5.07619496e+01 3.27778024e-03
 8.98769308e+01 5.61467137e+01 9.89189984e-01 0.00000000e+00
 5.27740537e+01 2.79459072e-03 8.96788751e+01 5.57370679e+01
 9.91100015e-01]","[3.32981731e+00 0.00000000e+00 4.29787982e+00 1.74318561e-03
 7.58963932e-01 3.43912028e+00 1.18787682e-02 0.00000000e+00
 5.62348166e+00 1.78416953e-03 1.63951081e+00 3.11850779e+00
 1.13339633e-02]",45.17135514196902,18.684194765094773
1.0,True,0.05,8,0.005,1.0,"[8.85945599e-01 0.00000000e+00 4.82609265e+01 4.50108412e-03
 8.98804332e+01 5.52848568e+01 9.79805904e-01 0.00000000e+00
 5.01119003e+01 3.92679658e-03 8.97120207e+01 5.44059912e+01
 9.82990993e-01]","[3.27133065e+00 0.00000000e+00 4.94658218e+00 2.50484879e-03
 7.59110269e-01 4.05261487e+00 2.06685138e-02 0.00000000e+00
 6.29321845e+00 2.55935879e-03 1.43050865e+00 3.45718855e+00
 2.00397052e-02]",57.400776161997115,16.87627257945968
2.5,False,0.05,16,0.001,0.1,"[9.65511503e-01 0.00000000e+00 4.96841085e+01 3.70815244e-03
 8.98740978e+01 5.57355018e+01 9.86149066e-01 0.00000000e+00
 5.17244568e+01 3.16903336e-03 8.97053824e+01 5.52122695e+01
 9.88701091e-01]","[3.15239619e+00 0.00000000e+00 4.28777161e+00 1.96143520e-03
 7.64066405e-01 3.54324762e+00 1.46409084e-02 0.00000000e+00
 5.72659719e+00 2.03237145e-03 1.45535075e+00 3.16967941e+00
 1.42081557e-02]",44.730339096015726,18.92126771919525
