,non_given_dims,beta,rgb_supervise,rgb_weak_supervise_prop,rgb_temp_beta,rgb_lambda,adversarial_supervise,adversarial_lambda,adversarial_target_language,encoder_class,color_metric_mean,color_metric_std,deltae,issm,psnr,rmse,sam,sre,ssim1,issm1,psnr1,rmse1,sam1,sre1
15,5,0.01,0,0.1,0.99,1,0,20,0,1,85.3723501585545,10.080979335645273,99.84742891500319,0.0,49.8515353,0.00361447924,89.9269135,56.0562656,0.989475019,0.0,51.8083778,0.00307250062,89.8392347,55.3849825
44,5,0.01,0,0.1,0.99,1,0,20,1,1,83.15387530311317,10.580034764843663,99.82485437117809,0.0,49.7780122,0.0036522613,89.9196728,55.6582276,0.989078609,0.0,51.6730177,0.00310654438,89.7845747,55.3253321
326,5,0.1,0,0.05,0.99,1,0,20,0,2,74.46830149850054,14.67854581587253,99.84049242464563,0.0,48.9800252,0.00401229379,89.8993507,55.3675234,0.98767422,0.0,50.87473,0.00339020541,89.7792307,54.9326052
9,5,0.5,0,0.1,0.99,1,0,20,0,1,85.9466485062719,9.877941111934804,99.80686107185267,0.0,49.8010974,0.00366817025,89.9241021,55.7735479,0.989115329,0.0,51.6760053,0.00312843983,89.7986223,55.3274067
35,5,0.5,0,0.1,0.99,1,0,20,1,1,86.32947505045377,9.77153855465298,99.83515507023361,0.0,49.6978318,0.00367924866,89.9228971,55.8228983,0.988811563,0.0,51.5567595,0.00316033681,89.8027452,55.2693892
327,5,1.0,0,0.05,0.99,1,0,20,0,2,80.20088924352466,12.640027680270816,99.83027262368341,0.0,49.3944434,0.00379386503,89.9191679,55.66915,0.988715353,0.0,51.3940379,0.00319040866,89.8119292,55.1853055
40,5,1.0,0,0.1,0.99,1,0,20,0,1,86.05799580295404,9.70391813173672,99.8294699154912,0.0,49.5013837,0.00374351483,89.9289777,55.6738099,0.988595967,0.0,51.2782708,0.00322615083,89.8162759,55.1045963
46,5,1.0,0,0.1,0.99,1,0,20,1,1,86.49799230007758,9.00526306248384,99.85798962975235,0.0,49.4263334,0.00379600743,89.9319512,55.6490454,0.988389988,0.0,51.3169222,0.00324142807,89.8518941,55.1445768
75,5,1.0,0,0.1,0.99,1,1,20,0,0,71.97182605530392,15.634754830930644,99.80565217419924,0.0,48.6277481,0.00417895994,89.8883286,55.3863212,0.986348659,0.0,50.7889024,0.00354812811,89.7978516,54.8661933
62,5,1.0,0,0.1,0.99,1,1,20,0,1,84.74956807338839,10.138463513633894,99.80590223660066,0.0,49.481581,0.00374924462,89.923961,55.5893794,0.98892117,0.0,51.4110253,0.00317120401,89.8135443,55.2026299
63,5,1.0,0,0.1,0.99,1,1,20,1,0,60.0693701174682,15.728524198494068,99.75750149163093,0.0,40.2913431,0.0103219888,89.8647198,50.4761237,0.952183868,0.0,41.7715368,0.00891597434,89.8549989,50.3644508
70,5,1.0,0,0.1,0.99,1,1,20,1,1,76.4224561141438,14.411279205263329,99.8619514695628,0.0,43.6144696,0.00729739801,89.9378975,53.3335198,0.968691236,0.0,45.5317557,0.00622173514,89.9142556,52.2571097
68,5,1.0,0,0.1,0.99,1,1,30,0,0,72.9757110487442,15.376334049149738,99.8028553142525,0.0,48.7055782,0.00410839267,89.8904549,55.4997442,0.986833417,0.0,50.8733862,0.00346682314,89.7884575,54.9258052
83,5,1.0,0,0.1,0.99,1,1,30,0,1,84.90806749774364,10.2015456234046,99.82816936812401,0.0,49.5049134,0.00375803837,89.9236788,55.6273476,0.988510629,0.0,51.3734728,0.00319897754,89.8119883,55.1709625
72,5,1.0,0,0.1,0.99,1,1,30,1,0,81.78028352108,13.83108304691963,99.81212069839037,0.0,46.2615076,0.00525848195,89.8503094,54.3624871,0.980996161,0.0,48.355315,0.00447210637,89.7598862,53.6655649
76,5,1.0,0,0.1,0.99,1,1,30,1,1,68.00303234381128,11.642561225815228,99.85992202744286,0.0,32.1135641,0.0248205033,89.7533253,45.5666173,0.855272833,0.0,32.2323734,0.0245013691,89.7191718,45.6102767
66,5,1.0,0,0.1,0.99,1,1,50,0,0,56.77113965592623,18.32302229021621,99.74340706742764,0.0,33.6222522,0.0208899193,89.6125698,46.2831413,0.891300737,0.0,33.7317606,0.0206377941,89.5302802,46.3560814
80,5,1.0,0,0.1,0.99,1,1,50,0,1,83.58569929216347,11.157055857846109,99.84812267425623,0.0,48.3602215,0.00429119253,89.917211,55.2330935,0.985720105,0.0,50.1251057,0.00371237911,89.7714176,54.5508354
67,5,1.0,0,0.1,0.99,1,1,50,1,0,71.52618100401278,13.773656163201418,99.80584700251927,0.0,42.5239465,0.00827534685,89.8551714,51.7165511,0.963982003,0.0,44.2547727,0.00704299528,89.8447749,51.6205325
84,5,1.0,0,0.1,0.99,1,1,50,1,1,70.12852078114548,10.473542290643024,99.87341212553468,0.0,31.8628598,0.025550332,89.7613251,45.4082945,0.850370517,0.0,32.0933641,0.0248928422,89.743341,45.5297755
255,5,1.0,1,0.05,0.9,1,0,20,1,1,81.56852409057775,11.296447366211227,99.830499941654,0.0,49.4544319,0.00376907695,89.9310637,55.5660675,0.9886736,0.0,51.4372843,0.00317941417,89.8397696,55.2010921
192,5,1.0,1,0.05,0.9,1,0,30,1,1,82.77907347600643,11.336429560888384,99.82355417248517,0.0,49.7594147,0.00370406819,89.9174464,55.6439705,0.989007617,0.0,51.7043592,0.00311779558,89.8067119,55.3256388
95,5,1.0,1,0.05,0.9,5,0,20,1,1,80.62371572484082,12.139738196078554,99.82413363019606,0.0,49.7849496,0.00364307525,89.92519,55.6798011,0.98924084,0.0,51.8566642,0.00306579504,89.8140155,55.4146593
94,5,1.0,1,0.05,0.9,5,0,30,1,1,83.39589951603064,11.057566789155793,99.80731784036722,0.0,49.5303137,0.00373916555,89.9133158,55.5566966,0.98888139,0.0,51.5197778,0.00314167083,89.7630691,55.2515235
118,5,1.0,1,0.05,0.9,10,0,20,1,1,82.18809229911223,10.654321548618643,99.83313185828912,0.0,49.542064,0.00375813261,89.9128161,55.4731689,0.988768487,0.0,51.5817887,0.00315605708,89.7828162,55.2686212
236,5,1.0,1,0.05,0.9,10,0,30,1,1,82.37439744344171,10.82230186065925,99.8609422945748,0.0,49.853025,0.00363645664,89.9123354,55.7761112,0.98921303,0.0,51.922791,0.00306555915,89.7883473,55.4583074
150,5,1.0,1,0.05,0.9,20,0,20,1,1,83.59522252071531,10.299510579256252,99.82740711158219,0.0,49.7529173,0.00367801936,89.9345317,55.6729473,0.989218392,0.0,51.6826813,0.00310576293,89.8412685,55.3251902
286,5,1.0,1,0.05,0.9,20,0,30,1,1,83.47392537804002,10.227294821739337,99.84211031270151,0.0,49.7125372,0.00366740675,89.9336195,55.8118477,0.989177584,0.0,51.6771756,0.00309463341,89.8490542,55.3507324
238,5,1.0,1,0.05,0.98,1,0,20,1,1,82.9236261584671,10.47881462156579,99.80299205887133,0.0,49.2292911,0.00390212166,89.9300242,55.4351552,0.987892053,0.0,51.2114075,0.00329658819,89.7859158,55.1060727
282,5,1.0,1,0.05,0.98,1,0,30,1,1,82.79425901811635,10.176422796955816,99.86235772717397,0.0,49.1437125,0.00389979713,89.9169738,55.2968686,0.98839667,0.0,51.1171951,0.00327637228,89.8073747,55.0515677
316,5,1.0,1,0.05,0.98,5,0,20,1,1,83.89261008831268,9.661607472363672,99.8475632621467,0.0,49.311892,0.00385654932,89.9384117,55.5294328,0.98818072,0.0,51.3007967,0.00325349184,89.8526892,55.1314876
138,5,1.0,1,0.05,0.98,5,0,30,1,1,84.16734518988797,9.170789720424002,99.82434255514552,0.0,49.0966589,0.00396036843,89.9355564,55.2402109,0.987380873,0.0,51.0278688,0.00335637238,89.8767672,54.9887172
184,5,1.0,1,0.05,0.98,10,0,20,1,1,83.60728788140166,10.046941945352115,99.80967567637691,0.0,48.8714361,0.00401931275,89.9284056,55.3100713,0.987524407,0.0,50.9768238,0.00336283692,89.8228627,54.968146
160,5,1.0,1,0.05,0.98,10,0,30,1,1,83.53472328286514,9.6245529794795,99.83961904764843,0.0,49.0231678,0.00397261347,89.9172706,55.2967717,0.987973686,0.0,51.1569486,0.00329017522,89.8475088,55.063016
273,5,1.0,1,0.05,0.98,20,0,20,1,1,81.8531713261092,10.65566659746196,99.8139265223361,0.0,49.2032471,0.00386317808,89.9129361,55.4098536,0.988339957,0.0,51.2586876,0.00323121294,89.8243795,55.1179504
254,5,1.0,1,0.05,0.98,20,0,30,1,1,83.4312086721643,10.002773075402471,99.84195797238023,0.0,49.2303658,0.0038473635,89.9302416,55.3974018,0.98886765,0.0,51.2928709,0.00318920193,89.8295157,55.151943
104,5,1.0,1,0.05,0.99,1,0,20,1,1,82.55724033038784,10.749495213591832,99.83111474225782,0.0,48.2002218,0.00434286704,89.9237392,54.7828745,0.985710812,0.0,50.0577951,0.00368726792,89.812698,54.5176069
195,5,1.0,1,0.05,0.99,1,0,30,1,1,84.30204628828098,8.983249160322814,99.88406569609369,0.0,48.6851578,0.00410158461,89.9340629,55.2667594,0.987319225,0.0,50.7661087,0.00341846308,89.8646121,54.8691297
151,5,1.0,1,0.05,0.99,5,0,20,1,1,84.04971277978912,9.246107474306742,99.87597478549564,0.0,48.9716617,0.00398099259,89.916781,55.2256914,0.987833882,0.0,51.1014479,0.00331253352,89.8196671,55.0491269
253,5,1.0,1,0.05,0.99,5,0,30,1,1,81.91281389941653,10.447287560838664,99.84147919821677,0.0,48.5024599,0.00423903451,89.9351674,54.990026,0.986128714,0.0,50.4600363,0.00358564407,89.8279746,54.7220213
239,5,1.0,1,0.05,0.99,10,0,20,1,1,83.8107423146784,9.442337473142295,99.86669216915033,0.0,48.7220626,0.00412800056,89.935219,55.3004267,0.986766508,0.0,50.7539234,0.00347558024,89.8598852,54.8634467
292,5,1.0,1,0.05,0.99,10,0,30,1,1,82.71274472540236,10.130307805075825,99.83331689882398,0.0,48.9084688,0.00403640278,89.9249925,55.1899346,0.987102638,0.0,50.9072229,0.00339787087,89.8276551,54.9277527
113,5,1.0,1,0.05,0.99,20,0,20,1,1,83.10587827007348,9.379876832642534,99.84764895541701,0.0,48.8190908,0.00407391699,89.9208848,55.1965744,0.986930839,0.0,50.7850672,0.00343668971,89.7920146,54.8758934
109,5,1.0,1,0.05,0.99,20,0,30,1,1,83.65421357777339,9.72326641811114,99.85882527770191,0.0,48.4093265,0.00424315777,89.9339769,54.9807258,0.986046628,0.0,50.281062,0.00360221444,89.8498167,54.6209099
181,5,1.0,1,0.1,0.9,1,0,20,1,1,86.26571147019003,8.873359605331618,99.83972642642125,0.0,49.9891287,0.00360466304,89.9308735,55.8250391,0.989334551,0.0,51.8560492,0.00307144804,89.8345047,55.4186805
186,5,1.0,1,0.1,0.9,1,0,30,1,1,85.74657464988773,9.55899193918898,99.79270493501872,0.0,49.6464863,0.00371869454,89.9190811,55.6821392,0.989035292,0.0,51.6089209,0.00314141103,89.7626388,55.2665953
87,5,1.0,1,0.1,0.9,5,0,20,1,1,82.66640759959968,11.230222313932725,99.81143370772017,0.0,49.7027501,0.00367224796,89.9308222,55.724553,0.989288446,0.0,51.6659408,0.00309940567,89.8302721,55.3208393
250,5,1.0,1,0.1,0.9,5,0,30,1,1,85.79266216870836,8.960539450367383,99.83357538103004,0.0,49.722988,0.00366939073,89.9269365,55.7676123,0.988884237,0.0,51.5713178,0.00313639952,89.8440187,55.2842478
105,5,1.0,1,0.1,0.9,10,0,20,1,1,84.89283933179878,9.914299916536857,99.78886120069627,0.0,49.9534899,0.00361232053,89.9251241,55.8067365,0.989421273,0.0,51.8057082,0.00306776797,89.784467,55.3731314
227,5,1.0,1,0.1,0.9,10,0,30,1,1,84.95459854801427,9.290896616805998,99.86270552184409,0.0,49.8153972,0.00365240571,89.9308084,55.8615286,0.989484887,0.0,51.9678701,0.00303202205,89.7940891,55.4705266
154,5,1.0,1,0.1,0.9,20,0,20,1,1,86.35066334410344,8.958846459470744,99.8250440207794,0.0,49.7219375,0.00367127833,89.9371887,55.7348142,0.988671638,0.0,51.5560288,0.0031546709,89.8255464,55.2557315
301,5,1.0,1,0.1,0.9,20,0,30,1,1,86.23163614102626,8.473665913254946,99.83009346238558,0.0,49.806704,0.00365897766,89.9220579,55.7946688,0.989047082,0.0,51.7730382,0.00310075344,89.828597,55.3634921
203,5,1.0,1,0.1,0.98,1,0,20,1,1,86.28653562402317,8.728309761032152,99.85254428887805,0.0,49.6433442,0.00371837785,89.9311709,55.7346774,0.988841208,0.0,51.633282,0.00313315708,89.8497108,55.3115023
120,5,1.0,1,0.1,0.98,1,0,30,1,1,87.90972793322982,7.837012171267621,99.8082605483017,0.0,49.6868202,0.00371982128,89.9234521,55.7956025,0.988686875,0.0,51.6519245,0.00315167308,89.7776603,55.2999509
126,5,1.0,1,0.1,0.98,5,0,20,1,1,86.23666067469892,8.631936878041861,99.8417531049579,0.0,49.4231277,0.00380209884,89.9239079,55.5127957,0.988342381,0.0,51.3481212,0.00323232563,89.8270866,55.1579352
310,5,1.0,1,0.1,0.98,5,0,30,1,1,87.47852435708018,7.742320095747711,99.82415410597994,0.0,49.578726,0.00374448407,89.9300983,55.5025561,0.988829045,0.0,51.3811453,0.00318772913,89.8194454,55.1655916
218,5,1.0,1,0.1,0.98,10,0,20,1,1,85.71913967124533,9.215695950457306,99.78540821884732,0.0,49.2660019,0.00385822743,89.9064864,55.3311597,0.988295927,0.0,51.1682153,0.00325937379,89.7832403,55.0590872
303,5,1.0,1,0.1,0.98,10,0,30,1,1,86.65624327428277,8.476999606570232,99.80169933222294,0.0,49.543803,0.00375967909,89.9059117,55.55824,0.988718967,0.0,51.4572189,0.00318867192,89.7938488,55.2056876
193,5,1.0,1,0.1,0.98,20,0,20,1,1,86.81137869392127,8.458353785305539,99.7774956549172,0.0,49.4561938,0.00379727401,89.9085013,55.5966,0.988608177,0.0,51.4969247,0.00318075837,89.8053244,55.2181654
149,5,1.0,1,0.1,0.98,20,0,30,1,1,87.40393104710287,8.125379027623872,99.84525347911313,0.0,49.8540112,0.00364283755,89.9204375,55.8834248,0.989167229,0.0,51.8393722,0.00308791242,89.8159123,55.4096108
91,5,1.0,1,0.1,0.99,1,0,20,1,1,88.8439315708772,6.80887255221702,99.81024138998161,0.0,49.1252886,0.00392387815,89.9278744,55.4957977,0.987788291,0.0,51.1457992,0.00330119799,89.8360352,55.0494315
135,5,1.0,1,0.1,0.99,1,0,30,1,1,87.77162510031113,7.791710563322158,99.84145745113022,0.0,49.3043324,0.00385983481,89.9328986,55.6014218,0.988251319,0.0,51.318393,0.00325184924,89.7860267,55.1549787
212,5,1.0,1,0.1,0.99,5,0,20,1,1,87.87175196122581,7.70484611915704,99.82239526159165,0.0,49.3567673,0.00385293147,89.929175,55.5108118,0.987992151,0.0,51.2648502,0.00327566487,89.8397834,55.1312173
164,5,1.0,1,0.1,0.99,5,0,30,1,1,87.65857251954128,8.044761166510046,99.86168517592081,0.0,49.4374342,0.00381198199,89.9158098,55.5280263,0.988316825,0.0,51.3915604,0.00322716349,89.8167082,55.180878
287,5,1.0,1,0.1,0.99,10,0,20,1,1,86.61422365792342,7.822769291545549,99.82770911331947,0.0,49.0746963,0.00394281329,89.9276854,55.2328273,0.987852923,0.0,51.0072536,0.00333440298,89.8412903,54.980157
258,5,1.0,1,0.1,0.99,10,0,30,1,1,89.41115380676291,6.672389432610541,99.84834701242019,0.0,49.1391499,0.00393201957,89.9324718,55.4627932,0.987733401,0.0,51.077624,0.0033319845,89.8339932,55.032195
200,5,1.0,1,0.1,0.99,20,0,20,1,1,87.87383237819336,7.52660901400687,99.84023921511923,0.0,49.4390438,0.0038151013,89.9256914,55.6030692,0.988186693,0.0,51.3524181,0.00325477185,89.8173488,55.1630495
321,5,1.0,1,0.1,0.99,20,0,30,1,1,87.5117748341717,8.72010367566094,99.81245144175611,0.0,49.0633064,0.00395276686,89.9311885,55.4288407,0.987979627,0.0,51.0764555,0.0033079975,89.8477724,55.0374579
169,5,1.0,1,0.25,0.9,1,0,20,1,1,89.66308373418622,7.759641421029942,99.80511847591224,0.0,49.6577597,0.00370065072,89.9219821,55.8470306,0.988748574,0.0,51.546194,0.00316440529,89.8012173,55.248444
217,5,1.0,1,0.25,0.9,1,0,30,1,1,90.22932697301172,6.752699403976365,99.81199937943869,0.0,50.32586,0.00345452364,89.9173498,55.9759468,0.990320257,0.0,52.2400596,0.00292168829,89.7872134,55.6051086
116,5,1.0,1,0.25,0.9,5,0,20,1,1,89.27781836221097,6.938200570366462,99.83552456693431,0.0,50.2704587,0.00349764965,89.9209784,55.9263894,0.989875366,0.0,52.1846372,0.00296226056,89.8173905,55.5811315
183,5,1.0,1,0.25,0.9,5,0,30,1,1,90.24512695512632,7.451677401240663,99.78257413588346,0.0,49.9940437,0.0035619002,89.9354021,55.9776365,0.989430796,0.0,51.8125928,0.00304883772,89.7821168,55.3966107
245,5,1.0,1,0.25,0.9,10,0,20,1,1,90.2581249511012,6.643482155687826,99.79914318771638,0.0,50.0664739,0.00351323564,89.9141384,55.8219762,0.989865519,0.0,51.9189173,0.00299393855,89.7980907,55.4535568
125,5,1.0,1,0.25,0.9,10,0,30,1,1,88.84496990064095,7.5980182422069245,99.80435829602008,0.0,50.2084572,0.00350383193,89.9020479,55.9485244,0.989995389,0.0,52.1822197,0.00294575924,89.7514086,55.565926
158,5,1.0,1,0.25,0.9,20,0,20,1,1,88.95271488076277,7.466443415830395,99.81126540490925,0.0,50.0321399,0.00354960767,89.9289537,55.9636241,0.989693048,0.0,51.9463297,0.0030158832,89.7981967,55.4663537
139,5,1.0,1,0.25,0.9,20,0,30,1,1,90.23703779872986,6.274729288935045,99.78980509276484,0.0,50.4083909,0.00343051111,89.9306717,56.1895023,0.990274709,0.0,52.3365837,0.00290362442,89.8321028,55.6640756
185,5,1.0,1,0.25,0.98,1,0,20,1,1,90.16146089763728,7.56125285368007,99.83848255017159,0.0,50.2268048,0.00348793961,89.9315374,56.0437279,0.989721851,0.0,52.0551908,0.00299069205,89.8197484,55.5239282
173,5,1.0,1,0.25,0.98,1,0,30,1,1,89.4557191339212,7.95562595970998,99.771565793999,0.0,49.2915174,0.00383973858,89.9088462,55.5910059,0.988236288,0.0,51.1318537,0.00329981776,89.76868,55.0506826
210,5,1.0,1,0.25,0.98,5,0,20,1,1,90.91542236614968,6.640038276999516,99.79483542475634,0.0,50.1805751,0.00350533929,89.9266662,55.9822945,0.989881931,0.0,52.1150435,0.00296792355,89.8292169,55.5476199
